"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045842","positive regulation of mitotic metaphase/anaphase transition","3/19","18/18842",0.166666666666667,165.280701754386,22.1539514160239,7.02590848070335e-07,7.51133488482468e-05,7.51133488482468e-05,"UBE2C/DLGAP5/CDC20",3
"GO:1902101","positive regulation of metaphase/anaphase transition of cell cycle","3/19","19/18842",0.157894736842105,156.581717451524,21.5563533952546,8.33795186538528e-07,8.75484945865454e-05,8.75484945865454e-05,"UBE2C/DLGAP5/CDC20",3
"GO:1901991","negative regulation of mitotic cell cycle phase transition","5/19","190/18842",0.0263157894736842,26.0969529085873,11.046366467086,1.025474853207e-06,0.000105785826962407,0.000105785826962407,"ZWINT/CCNB1/CDK1/CENPF/CDC20",5
"GO:0000075","cell cycle checkpoint signaling","5/19","191/18842",0.0261780104712042,25.9603196472858,11.0153961248216,1.05238585402486e-06,0.000106690152097693,0.000106690152097693,"ZWINT/CCNB1/CDK1/CENPF/CDC20",5
"GO:0000910","cytokinesis","5/19","195/18842",0.0256410256410256,25.4278002699055,10.8938536054392,1.1656635085682e-06,0.000116171210684424,0.000116171210684424,"NUSAP1/PRC1/KIF4A/CEP55/KIF20A",5
"GO:1901970","positive regulation of mitotic sister chromatid separation","3/19","22/18842",0.136363636363636,135.22966507177,20.0140228623284,1.3225928136861e-06,0.000129614095741238,0.000129614095741238,"UBE2C/DLGAP5/CDC20",3
"GO:0045786","negative regulation of cell cycle","6/19","382/18842",0.0157068062827225,15.5761917883715,9.14416936301157,1.44898046026995e-06,0.000139672214858809,0.000139672214858809,"ZWINT/CCNB1/NEK2/CDK1/CENPF/CDC20",6
"GO:0051988","regulation of attachment of spindle microtubules to kinetochore","3/19","23/18842",0.130434782608696,129.350114416476,19.5679919566809,1.52001290863538e-06,0.000144156062948001,0.000144156062948001,"CCNB1/NEK2/CDK1",3
"GO:0045930","negative regulation of mitotic cell cycle","5/19","237/18842",0.0210970464135021,20.9216078170109,9.80546234306169,3.03933620949138e-06,0.000283671379552529,0.000283671379552529,"ZWINT/CCNB1/CDK1/CENPF/CDC20",5
"GO:0000281","mitotic cytokinesis","4/19","104/18842",0.0384615384615385,38.1417004048583,12.0670521333287,3.18499240934444e-06,0.000292621177608521,0.000292621177608521,"NUSAP1/KIF4A/CEP55/KIF20A",4
"GO:2001251","negative regulation of chromosome organization","4/19","105/18842",0.0380952380952381,37.7784461152882,12.0066638445562,3.30901783039525e-06,0.000299338843734216,0.000299338843734216,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:1905820","positive regulation of chromosome separation","3/19","31/18842",0.0967741935483871,95.9694397283531,16.8129195640699,3.83835051296448e-06,0.000341962136609563,0.000341962136609563,"UBE2C/DLGAP5/CDC20",3
"GO:0010638","positive regulation of organelle organization","6/19","466/18842",0.0128755364806867,12.7684662299526,8.17281534844787,4.57303239899288e-06,0.000401334783672808,0.000401334783672808,"NUSAP1/UBE2C/NEK2/CDK1/DLGAP5/CDC20",6
"GO:1901988","negative regulation of cell cycle phase transition","5/19","269/18842",0.0185873605947955,18.4327920172178,9.14926935832974,5.64073834009729e-06,0.000487757962349589,0.000487757962349589,"ZWINT/CCNB1/CDK1/CENPF/CDC20",5
"GO:0051321","meiotic cell cycle","5/19","281/18842",0.0177935943060498,17.6456265218206,8.93175855977831,6.97510186736068e-06,0.000594399985218562,0.000594399985218562,"ZWINT/NEK2/ASPM/TOP2A/CDC20",5
